Rank,Sourceid,Title,SJR,SJR Best Quartile,URL,Scope
1,20315,"""Nature Reviews Molecular Cell Biology""",33.213,Q1,https://www.scimagojr.com/journalsearch.php?q=20315&tip=sid&clean=0,"nature reviews molecular cell biology aims to be the premier source of reviews and commentaries for the scientific communities we serve. we strive to publish articles that are authoritative, accessible and enhanced with clearly understandable figures, tables and other display items. we want to provide an unparalleled service to authors, referees and readers, and we work hard to maximize the usefulness and impact of each article. the journal publishes reviews, perspectives, comments and research highlights relevant to molecular and cell biologists, with our broad scope ensuring that the articles we publish reach the widest possible audience."
2,18434,"""Cell""",25.716,Q1,https://www.scimagojr.com/journalsearch.php?q=18434&tip=sid&clean=0,"cell publishes findings of unusual significance in any area of experimental biology, including but not limited to cell biology, molecular biology, neuroscience, immunology, virology and microbiology, cancer, human genetics, systems biology, signaling, and disease mechanisms and therapeutics. the basic criterion for considering papers is whether the results provide significant conceptual advances into, or raise provocative questions and hypotheses regarding, an interesting and important biological question. in addition to primary research articles in four formats, cell features review and opinion articles on recent research advances and issues of interest to its broad readership in the leading edge section."
3,15819,"""Nature Medicine""",24.161,Q1,https://www.scimagojr.com/journalsearch.php?q=15819&tip=sid&clean=0,"nature medicine publishes research that addresses the needs and goals of contemporary medicine. original research ranges from new concepts in human biology and disease pathogenesis to robust preclinical bases for new therapeutic modalities and drug development to all phases of clinical work, as well as innovative technologies aimed at improving human health.

current areas of interest also include, but are not limited to:

-gene and cell therapies
-clinical genomics
-regenerative medicine
-high-definition medicine
-effects of the environment in human health
-artificial intelligence in health care
-smart wearable devices
-early disease diagnosis
-microbiome
-aging
nature medicine also publishes reviews, perspectives and other content commissioned from leading scientists in their fields to provide expert and contextualized views of the latest research driving the progress of medicine. the news section is editorially independent and provides topical and timely reporting of upcoming trends affecting medicine, researchers and the general audience."
4,18991,"""Nature Reviews Genetics""",23.027,Q1,https://www.scimagojr.com/journalsearch.php?q=18991&tip=sid&clean=0,"to an extent, all life scientists are geneticists because genetic technology and the accumulation of genomic information have enriched all of biology. you may or may not call yourself a geneticist, but if you work on or with genes you need to know about the latest developments. nature reviews genetics covers the full scientific breadth of modern genetics, capturing its excitement, diversity and implications.

subjects covered:
-genomics: genome sequencing, genome projects, bioinformatics, cancer genomics, metagenomics, pharmacogenomics, resources-
functional genomics: transcriptomics, functional genomics screens, bioinformatics-
evolutionary genetics: evo-devo, genome evolution, comparative genomics, population genetics, phylogenetics-
technology: new techniques, experimental strategies, therapy, applied genetics and genomics, computational biology-
gene expression: gene regulatory elements, transcriptional and post-transcriptional regulation, regulatory rnas, broad perspectives on gene regulation, gene expression profiling, gene regulatory networks-
multifactorial genetics: complex traits, mapping strategies, technology, genetic variation-
disease: disease gene identification, relationship between genotype and phenotype, molecular pathology of genetic disease, complex disease, disease susceptibility/resistance-
chromosome biology: dna elements, telomeres, centromeres, mobile elements, chromosome stability, dna damage, meiosis and mitosis, nuclear organization, artificial chromosomes-
epigenetics: dna methylation, histone modification, chromatin structure, imprinting, chromatin remodeling, epigenomics-
developmental biology: patterning, differentiation, stem cells, reproductive technology-
systems and networks: systems biology, biological networks, synthetic biology, modelling-
ethical, legal and social implications of genetics and genomics"
5,16115,"""Nature Biotechnology""",20.12,Q1,https://www.scimagojr.com/journalsearch.php?q=16115&tip=sid&clean=0,"nature biotechnology is a monthly journal covering the science and business of biotechnology. it publishes new concepts in technology/methodology of relevance to the biological, biomedical, agricultural and environmental sciences as well as covers the commercial, political, ethical, legal, and societal aspects of this research. the first function is fulfilled by the peer-reviewed research section, the second by the expository efforts in the front of the journal. we provide researchers with news about business; we provide the business community with news about research developments.

the core areas in which we are actively seeking research papers include: molecular engineering of nucleic acids and proteins; molecular therapy (therapeutics genes, antisense, sirnas, aptamers, dnazymes, ribozymes, peptides, proteins); large-scale biology (genomics, functional genomics, proteomics, structural genomics, metabolomics, etc.); computational biology (algorithms and modeling), regenerative medicine (stem cells, tissue engineering, biomaterials); imaging technology; analytical biotechnology (sensors/detectors for analytes/macromolecules), applied immunology (antibody engineering, xenotransplantation, t-cell therapies); food and agricultural biotechnology; and environmental biotechnology. a comprehensive list of areas of interest is shown below."
6,12464,"""Nature Reviews Cancer""",16.955,Q1,https://www.scimagojr.com/journalsearch.php?q=12464&tip=sid&clean=0,"nature reviews cancer aims to be the premier source of reviews and commentaries for the scientific communities we serve. we strive to publish articles that are authoritative, accessible and enhanced with clearly understandable figures, tables and other display items. we want to provide an unparalleled service to authors, referees and readers, and we work hard to maximize the usefulness and impact of each article. the journal publishes research highlights, comments, reviews and perspectives relevant to cancer researchers, with our broad scope ensuring that the articles we publish reach the widest possible audience."
7,18990,"""Nature Genetics""",16.517,Q1,https://www.scimagojr.com/journalsearch.php?q=18990&tip=sid&clean=0,"nature genetics publishes the very highest quality research in genetics. it encompasses genetic and functional genomic studies on human and plant traits and on other model organisms. current emphasis is on the genetic basis for common and complex diseases and on the functional mechanism, architecture and evolution of gene networks, studied by experimental perturbation.

integrative genetic topics comprise, but are not limited to:

-genes in the pathology of human disease
-molecular analysis of simple and complex genetic traits
-cancer genetics
-agricultural genomics
-developmental genetics
-regulatory variation in gene expression
-strategies and technologies for extracting function from genomic data
-pharmacological genomics
-genome evolution
-nature genetics"
8,16801,"""Annual Review of Biochemistry""",13.085,Q1,https://www.scimagojr.com/journalsearch.php?q=16801&tip=sid&clean=0,"the annual review of biochemistry, in publication since 1932, sets the standard for review articles in biological chemistry and molecular biology. since its inception, these volumes have served as an indispensable resource for both the practicing biochemist and students of biochemistry."
9,24004,"""Physiological Reviews""",13.021,Q1,https://www.scimagojr.com/journalsearch.php?q=24004&tip=sid&clean=0,"e american physiological society (aps) is a nonprofit devoted to fostering education, scientific research, and dissemination of information in the physiological sciences. the society was founded in 1887 with 28 members. aps now has over 10,500 members. most members have doctoral degrees in physiology and/or medicine (or other health professions).

aps is governed by an elected council consisting of a president, president-elect, past president, and nine councillors. the national headquarters of the society is based in rockville, maryland.

aps is a member of the federation of american societies for experimental biology (faseb), a coalition of 26 independent societies that plays an active role in lobbying for the interests of biomedical scientists."
10,21100862548,"""Nature Catalysis""",12.887,Q1,https://www.scimagojr.com/journalsearch.php?q=21100862548&tip=sid&clean=0,"nature catalysis brings together researchers from across all chemistry and related fields, publishing work on homogeneous catalysis, heterogeneous catalysis, and biocatalysts, incorporating both fundamental and applied studies. we have a particular interest in applied work that advances our knowledge and informs the development of sustainable industries and processes. nature catalysis provides coverage of the science and business of catalysis research, creating a unique journal for scientists, engineers and researchers in academia and industry. 

like all nature-branded journals, nature catalysis is characterized by a dedicated team of professional editors, a fair and rigorous peer-review process, high standards of copy-editing and production, swift publication, and editorial independence."
