Rank,Sourceid,Title,SJR,SJR Best Quartile,URL,Scope
1,16115,"""Nature Biotechnology""",20.12,Q1,https://www.scimagojr.com/journalsearch.php?q=16115&tip=sid&clean=0,"nature biotechnology is a monthly journal covering the science and business of biotechnology. it publishes new concepts in technology/methodology of relevance to the biological, biomedical, agricultural and environmental sciences as well as covers the commercial, political, ethical, legal, and societal aspects of this research. the first function is fulfilled by the peer-reviewed research section, the second by the expository efforts in the front of the journal. we provide researchers with news about business; we provide the business community with news about research developments.

the core areas in which we are actively seeking research papers include: molecular engineering of nucleic acids and proteins; molecular therapy (therapeutics genes, antisense, sirnas, aptamers, dnazymes, ribozymes, peptides, proteins); large-scale biology (genomics, functional genomics, proteomics, structural genomics, metabolomics, etc.); computational biology (algorithms and modeling), regenerative medicine (stem cells, tissue engineering, biomaterials); imaging technology; analytical biotechnology (sensors/detectors for analytes/macromolecules), applied immunology (antibody engineering, xenotransplantation, t-cell therapies); food and agricultural biotechnology; and environmental biotechnology. a comprehensive list of areas of interest is shown below."
2,20651,"""Annual Review of Immunology""",17.814,Q1,https://www.scimagojr.com/journalsearch.php?q=20651&tip=sid&clean=0,"the annual review of immunology, in publication since 1983, focuses on basic immune mechanisms and molecular basis of immune diseases in humans. topics include innate and adaptive immunity; immune cell development and differentiation; immune control of pathogens (viruses, bacteria, parasites) and cancer; and human immunodeficiency and autoimmune diseases."
3,21318,"""Nature Reviews Immunology""",17.109,Q1,https://www.scimagojr.com/journalsearch.php?q=21318&tip=sid&clean=0,"immunology is a diverse and growing discipline that can be defined as the study of the tissues, cells and molecules involved in host defence mechanisms. immunologists attempt to understand how the immune system develops, how the body defends itself against disease, and what happens when it all goes wrong. nature reviews immunology provides in-depth coverage of all areas of immunology, from fundamental mechanisms to applied aspects. 

subjects covered:
-allergy and asthma
-autoimmunity
-antigen processing and presentation
-apoptosis and cell death
-chemokines and chemokine receptors
-cytokines and cytokine receptors
-development and function of cells of the immune system
-haematopoiesis
-infection and immunity
-immunotherapy
-innate immunity
-mucosal immunology and the microbiota
-regulation of the immune response
-signalling in the immune system
-transplantation
-tumour immunology and immunotherapy
-vaccine development"
4,20798,"""Immunity""",14.075,Q1,https://www.scimagojr.com/journalsearch.php?q=20798&tip=sid&clean=0,"immunity is a monthly journal which publishes research articles and reviews of general interest in the entire discipline of immunology. immunity was founded in the belief that advances in molecular and cellular immunology have brought immunology to a point at which a journal of high quality should be able to provide a unifying intellectual view, but the mandate for immunity is not restricted to any particular level of analysis or to any particular type of system. the title immunity is meant to indicate a breadth of interest extending beyond the formal definition of immunology, and into all systems that contribute to, or interact with, the immune system of the organism."
5,21101041613,"""Lancet Microbe, The""",13.313,Q1,https://www.scimagojr.com/journalsearch.php?q=21101041613&tip=sid&clean=0,
6,21100860945,"""Science immunology""",11.962,Q1,https://www.scimagojr.com/journalsearch.php?q=21100860945&tip=sid&clean=0,"science immunology will publish original, peer-reviewed, science-based research articles that report critical advances in all areas of immunological research, including important new tools and techniques. the editors encourage submission of original research findings from all areas within the broad field of immunology from all model organisms, including humans. areas covered range from basic studies into the biology of innate and adaptive immunity (immune cell development and differentiation, immunogenomics, systems immunology, structural immunology, antigen presentation, immunometabolism, and mucosal immunology) to immune contributions to health and disease (host defense, inflammation, cancer immunology, autoimmunity, allergy, transplantation, and immunodeficiency). the editors and an international advisory group of scientists will hold science immunology articles to the same high-quality standard that is the hallmark of the science family of journals."
7,21100773752,"""Nature Microbiology""",9.69,Q1,https://www.scimagojr.com/journalsearch.php?q=21100773752&tip=sid&clean=0,"nature microbiology is interested in all aspects of microorganisms, be it their evolution, physiology and cell biology; their interactions with each other, with a host or with an environment; or their societal significance. nature microbiology provides a place where all researchers and policymakers interested in microorganisms can come together to learn about the most accomplished and significant advances in the field and to discuss topical issues. an online-only monthly journal, our broad scope ensures that the research published reaches the widest possible audience of microbiologists."
8,5300152732,"""Cell Host and Microbe""",9.373,Q1,https://www.scimagojr.com/journalsearch.php?q=5300152732&tip=sid&clean=0,"cell host & microbe was launched in march 2007. the journal's mission is to provide a forum for the exchange of ideas and concepts between scientists studying the microbe with those studying the host immune, cell biological, and molecular response upon colonization or infection by a microbe.

cell host & microbe will publish novel findings related to microbes (which includes bacteria, fungi, parasites, and viruses) from molecular and cellular biology to translational studies with particular emphasis on the interface between the microbe and its host (vertebrate, invertebrate, or plant; unicellular or multicellular). the unifying theme is the integrated study of microbes (pathogenic, non-pathogenic, and commensal) in conjunction and communication with each other, their host, and the cellular environment they inhabit. work published in cell host & microbe is expected not only to be of exceptional significance within its field, but also of interest to researchers outside the immediate area. in addition to primary research manuscripts, cell host & microbe will publish expert analysis, commentary, and reviews on topics of current interest in the field.

topics covered include: 

- molecular and cell biology of microbes
 
- microbial pathogenesis
 
- host cellular and immune response to microbes
 
- immune evasion
 
- therapeutics
 
- evolution, epidemiology, and natural history of microbes
 
- vaccine design, development, and trials
 
- emerging pathogens"
9,21315,"""Nature Immunology""",9.135,Q1,https://www.scimagojr.com/journalsearch.php?q=21315&tip=sid&clean=0,"nature immunology is a multidisciplinary journal that publishes papers of the highest quality and significance in all areas of immunology. priority is given to work that provides translational and/or fundamental insight into the workings of the immune system. areas covered include, but are not limited to, innate immunity and inflammation; development; immune receptors, signaling and apoptosis; antigen presentation; gene regulation and recombination; cellular and systemic immunity; vaccines; immune tolerance; autoimmunity; tumor immunology, and microbial immunopathology. in addition to publishing significant original research, nature immunology also publishes comments, news and views, research highlights, matters arising  from readers and reviews of the literature, thus serving as the major conduit of top-quality information for the immunology community."
10,20313,"""Nature Reviews Microbiology""",9.103,Q1,https://www.scimagojr.com/journalsearch.php?q=20313&tip=sid&clean=0,"nature reviews microbiology aims to be the premier source of reviews and commentaries for the scientific communities we serve. we strive to publish articles that are authoritative, accessible and enhanced with clearly understandable figures, tables and other display items. we want to provide an unparalleled service to authors, referees and readers, and we work hard to maximize the usefulness and impact of each article. nature reviews microbiology publishes reviews, perspectives and comments from across the field of microbiology, with our broad scope ensuring that the work we publish reaches the widest possible audience."
