Rank,Sourceid,Title,SJR,SJR Best Quartile,URL,Scope
1,17436,"""Nature Neuroscience""",12.017,Q1,https://www.scimagojr.com/journalsearch.php?q=17436&tip=sid&clean=0,"nature neuroscience is a multidisciplinary journal that publishes papers of the highest quality and significance in all areas of neuroscience. the editors welcome contributions in molecular, cellular, systems and cognitive neuroscience, as well as psychophysics, computational modeling and diseases of the nervous system. no area is excluded from consideration, although priority is given to studies that provide fundamental insights into the functioning of the nervous system.

nature neuroscience provides readers and authors high visibility, emphasis on interdisciplinary communication, accessibility to a broad readership, high standards of copy editing and production, rigorous peer review, rapid publication, and independence from academic societies and other vested interests.

in addition to primary research, nature neuroscience publishes news and views, reviews, editorials, commentaries, perspectives, book reviews and correspondence. in this way, the journal aims to be the voice of the worldwide neuroscience community."
2,21100356804,"""Lancet Psychiatry,The""",8.932,Q1,https://www.scimagojr.com/journalsearch.php?q=21100356804&tip=sid&clean=0,"we publish original research, reviews, and personal views, as well as timely news and comment about all aspects of psychiatry. topics considered by the journal include psychopharmacology, psychotherapy, and psychosocial approaches to all psychiatric disorders, across the life course. the journal covers innovative treatments and the biological research underpinning such developments, novel methods of service delivery, and new ways of thinking about mental illness promoted by social psychiatry. the journal also advocates strongly for the rights of people with mental illnesses, and welcome the voices of service users."
3,17437,"""Nature Reviews Neuroscience""",7.944,Q1,https://www.scimagojr.com/journalsearch.php?q=17437&tip=sid&clean=0,"neuroscience is the archetypal multidisciplinary science encompassing a variety of fields that share the common goal of attempting to provide a complete understanding of the structure and function of the central nervous system. a series of advances in molecular, developmental and cognitive neuroscience, stimulated by the advent of powerful new experimental techniques and theoretical approaches, have now rendered some of the most enduring neurobiological questions increasingly tractable. this explosion of knowledge has in turn created a need for new tools to efficiently organize and communicate this information. nature reviews neuroscience covers the breadth and depth of modern neuroscience by providing an authoritative, accessible, topical, and engaging first port of call for scientists who are interested in all aspects of neuroscience.

subjects covered
cellular and molecular neuroscience
development of the nervous system
sensory, motor systems and behaviour
regulatory systems
higher cognition and language
computational neuroscience
disorders of the brain."
4,17700156408,"""Nature Reviews Neurology""",7.736,Q1,https://www.scimagojr.com/journalsearch.php?q=17700156408&tip=sid&clean=0,"nature reviews' clinical content is written by internationally renowned clinical academics and researchers and targeted towards readers in the medical sciences, from postgraduate level upwards. while intended to be read by practicing doctors, researchers and academics within a specialty, we aim to make all our articles accessible to readers working in any medical discipline.

in-depth reviews present authoritative, up-to-date information on a topic, placing it in the context of a field's history and development. topical discussion and opinions are proffered in perspectives and news & views articles, and in the research highlights section we filter primary research from a range of specialty and general medical journals."
5,17978,"""Neuron""",7.556,Q1,https://www.scimagojr.com/journalsearch.php?q=17978&tip=sid&clean=0,"neuron has established itself as one of the most influential and relied upon journals in the field of neuroscience. the editors embrace interdisciplinary strategies that integrate biophysical, cellular, developmental, and molecular approaches with a systems approach to sensory, motor, and higher-order cognitive functions. neuron serves as one of the premier intellectual forums of the entire neuroscience community."
6,14181,"""Annual Review of Neuroscience""",7.269,Q1,https://www.scimagojr.com/journalsearch.php?q=14181&tip=sid&clean=0,"the annual review of neuroscience, in publication since 1978, covers the significant developments across the entire field of neuroscience, including molecular and cellular neuroscience, neurogenetics, development, plasticity and repair, systems neuroscience, cognitive neuroscience, behavior, and neurobiology of disease, with occasional reviews in history of neuroscience and ethics."
7,15359,"""Trends in Cognitive Sciences""",6.222,Q1,https://www.scimagojr.com/journalsearch.php?q=15359&tip=sid&clean=0,"essential reading for those working directly in the cognitive sciences or in related specialist areas, trends in cognitive sciences provides an instant overview of current thinking for scientists, students and teachers who want to keep up with the latest developments in the cognitive sciences. the journal brings together research in psychology, artificial intelligence, linguistics, philosophy, computer science and neuroscience. trends in cognitive sciences provides a platform for the interaction of these disciplines and the evolution of cognitive science as an independent field of study."
8,15090,"""Progress in Retinal and Eye Research""",6.022,Q1,https://www.scimagojr.com/journalsearch.php?q=15090&tip=sid&clean=0,"by invitation leading experts write on basic and clinical aspects of the eye in a style appealing to molecular biologists, neuroscientists and physiologists, as well as to vision researchers and ophthalmologists.

the journal covers all aspects of eye research, including topics pertaining to the retina and pigment pithelial layer, cornea, tears, lacrimal glands, aqueous humour, iris, ciliary body, trabeculum, lens, vitreous humour and diseases such as dry-eye, inflammation, keratoconus, corneal dystrophy, glaucoma and cataract."
9,17435,"""EMBO Journal""",5.633,Q1,https://www.scimagojr.com/journalsearch.php?q=17435&tip=sid&clean=0,"the embo journal publishes papers describing original research of broad general interest in molecular and cell biology - a particular emphasis is placed on molecular mechanism and physiological relevance.

the journal encourages and publishes articles that report novel findings of wide biological significance in the areas of: ageing; autophagy; cancer; cell adhesion, polarity & cytoskeleton; cell cycle; cell death; developmental biology; dna replication, repair & recombination; chromatin, epigenetics & genomics; immunology; membrane & intracellular transport; metabolism; microbiology, virology & host pathogen interaction; molecular biology of disease; neuroscience; plant biology; post-translational modifications, proteolysis & proteomics; rna biology; signal transduction; stem cells; structural biology; systems, chemical & computational biology; transcription; protein biosynthesis & quality control; vascular biology"
10,21100838541,"""Nature Human Behaviour""",5.205,Q1,https://www.scimagojr.com/journalsearch.php?q=21100838541&tip=sid&clean=0,"drawing from a broad spectrum of social, biological, health, and physical science disciplines, nature human behaviour publishes research of outstanding significance into any aspect of individual or collective human behaviour. how do humans perceive, think, feel, decide, and act? how do they interact with their environments and others? how do these abilities develop and decline over the lifespan? how do they evolve and compare with other species? how do they vary among individuals, groups, and cultures? how are they shaped by socioeconomic and political factors? how are they affected by disease or deprivation? what interventions can influence individual behaviours or outcomes? the journal welcomes research from any discipline that provides significant original insight into these questions.

nature human behaviour features a broad range of topics, including (but not limited to) perception, action, memory, learning, reward, judgment, decision-making, language, communication, emotion, personality, social cognition, social behaviour, neuropsychiatric/neurodevelopmental/neurological disorders, economic & political behaviour, belief systems, social networks, social norms, social structures, behaviour change, collective cognition and behaviour, culture, public policy.

in addition to publishing original research, nature human behaviour publishes reviews, perspectives, comments, news, features, and correspondence from across the full range of disciplines concerned with human behaviour."
