Rank,Sourceid,Title,SJR,SJR Best Quartile,URL,Scope
1,20425,"""Nature Reviews Drug Discovery""",11.296,Q1,https://www.scimagojr.com/journalsearch.php?q=20425&tip=sid&clean=0,"nature reviews drug discovery is a monthly journal aimed at everyone working in the drug discovery and development arena. in addition to the highest-quality reviews and perspectives covering a broad scope, each issue includes news stories that investigate the hottest topics in drug discovery, timely summaries of key primary research papers, and concise updates on the latest advances in areas such as new drug approvals, patent law and emerging industry trends and strategies."
2,21191,"""Pharmacological Reviews""",5.54,Q1,https://www.scimagojr.com/journalsearch.php?q=21191&tip=sid&clean=0,"pharmacological reviews presents important review articles covering the broad spectrum of pharmacological research. topics covered have included biochemical and cellular pharmacology, drug metabolism and disposition, renal pharmacology, neuropharmacology, behavioral pharmacology, clinical pharmacology, and toxicology. iuphar nomenclature reports are published here."
3,19479,"""Annual Review of Pharmacology and Toxicology""",4.002,Q1,https://www.scimagojr.com/journalsearch.php?q=19479&tip=sid&clean=0,"the annual review of pharmacology and toxicology, in publication since 1961, covers the significant developments in the fields of pharmacology and toxicology, including receptors, transporters, enzymes, and chemical agents; drug development science; systems such as the immune system, central and autonomic nervous systems, gastrointestinal system, cardiovascular system, endocrine system, and pulmonary system; and special topics."
4,4700152457,"""Nano Today""",3.89,Q1,https://www.scimagojr.com/journalsearch.php?q=4700152457&tip=sid&clean=0,"nano today publishes original articles on all aspects of nanoscience and nanotechnology. the journal considers any article that informs readers of the latest research and advances in the field, research breakthroughs, and topical issues which express views on developments in related fields. contributions include a variety of topics such as: synthesis and self-assembly of nanostructured materials and films; functionalization and size-dependent properties of nanocrystals, quantum dots and nanowires; processing and templating of nanotubes and nanoporous materials; tailoring of polymeric nanoparticles, organic-inorganic nanocomposites and biohybrids; fabrication of nano and micro electro mechanical systems; design and engineering of structural and functional nanomaterials; nanosystems for biological, medical, chemical, catalytic, energy and environmental applications; nanodevices for electronic, photonic, magnetic, imaging, diagnostic and sensor applications."
5,12611,"""Drug Resistance Updates""",3.845,Q1,https://www.scimagojr.com/journalsearch.php?q=12611&tip=sid&clean=0,"drug resistance updates is a bimonthly publication that contains thought-provoking reviews on important developments in drug resistance in infectious disease and cancer as well as novel drugs and strategies to overcome drug resistance.

it covers both basic research and clinical aspects of drug resistance, and involves disciplines as diverse as molecular biology, biochemistry, cell biology, pharmacology, microbiology, preclinical therapeutics, oncology and clinical medicine.

articles are written by leaders in the field, in response to an invitation from the editors, and are peer-reviewed prior to publication. articles are clear, readable, and up-to-date, suitable for a multidisciplinary readership and include schematic diagrams and other illustrations conveying the major points of the article. the goal is to highlight recent areas of growth and put them in perspective.

*expert reviews in clinical and basic drug resistance research in oncology and infectious disease
*describes emerging technologies and therapies, particularly those that overcome drug resistance
*emphasises common themes in microbial and cancer research"
6,21100466864,"""Journal for ImmunoTherapy of Cancer""",3.45,Q1,https://www.scimagojr.com/journalsearch.php?q=21100466864&tip=sid&clean=0,"the journal for immunotherapy of cancer (jitc) is the open access, peer reviewed, online journal of the society for immunotherapy of cancer (sitc). the journal publishes articles on all aspects of tumor immunology and cancer immunotherapy and, in doing so, aims to enrich communication and advance scientific understanding among the many stakeholders in this rapidly evolving field. topics of interest range widely across the basic science-translational-clinical spectrum and include tumor-host interactions, the tumor microenvironment, animal models, predictive and prognostic immune biomarkers, novel pharmaceutical and cellular therapies, vaccines, combination immune-based therapies, and immune-related toxicity."
7,22321,"""Trends in Pharmacological Sciences""",3.389,Q1,https://www.scimagojr.com/journalsearch.php?q=22321&tip=sid&clean=0,"trends in pharmacological sciences (tips) is a monthly peer-reviewed reviews journal that publishes reviews and opinions in fields broadly covering pharmacology, pharmacy, pharmaceutics and toxicology. launched in 1979, tips has an impact factor (if) of 11.523 as of 2019. every issue of tips contains succinct articles on the most exciting recent developments in pharmacology and therapeutics research. the major areas of research that tips is interested in are:

drug discovery and development; 
basic and clinical pharmacology; 
therapeutics; 
drug safety and toxicity; 
pharmacy, pharmacoepidemiology and pharmacoeconomics.

tips particularly seeks articles that are relevant to one or more of these themes. additionally, tips welcomes articles on biopharma regulatory landscape, science policy and regulation and bioethics."
8,21100232818,"""Emerging Microbes and Infections""",3.322,Q1,https://www.scimagojr.com/journalsearch.php?q=21100232818&tip=sid&clean=0,"as an international peer reviewed journal, the mission of emerging microbes & infections (emi) is to provide a new integrated forum to allow for the timely dissemination of large amount of information gathered about microbes and infections, especially ones associated with increasing biological and clinical significance and pathogenic frequency.

the sheer volume and complexity of such information has gone beyond the scale and scope of existing specialty journals, and thus emi is committed to bridging the gap between scientific communities in developed and developing countries where most of the emerging microbes and infections have occurred in recent years.
emi will cover relevant topics of critical biological and clinical value including, but not limited to:

epidemic surveillance;
clinical manifestation;
diagnosis and management;
cellular and molecular pathogenesis;
innate and acquired immune responses between emerging microbes and their hosts;
drug discovery, and
vaccine development"
9,21195,"""Pharmacology and Therapeutics""",3.085,Q1,https://www.scimagojr.com/journalsearch.php?q=21195&tip=sid&clean=0,"pharmacology & therapeutics presents lucid, critical and authoritative reviews of currently important topics in pharmacology. since articles are commissioned, instructions to authors are provided by the editor responsible for recruiting the work. founded in 1976, pharmacology & therapeutics continues to be among the top 10 most cited journals in pharmacology."
10,12455,"""Molecular Therapy""",3.064,Q1,https://www.scimagojr.com/journalsearch.php?q=12455&tip=sid&clean=0,"molecular therapy is the leading international journal for research on the development of molecular and cellular therapeutics to correct genetic and acquired diseases, including but not limited to research on gene transfer and editing, vector development and design, stem cell manipulation, vaccine development, pre-clinical target validation, safety/efficacy studies, and clinical trials."
11,21100850730,"""npj Vaccines""",2.953,Q1,https://www.scimagojr.com/journalsearch.php?q=21100850730&tip=sid&clean=0,"npj vaccines is a multidisciplinary journal that is dedicated to publishing the finest and high-quality research and development on human and veterinary vaccines, including:

discovery and basic science,
nonclinical development of vaccines,
biodefense vaccine,
aids vaccine,
vaccine formulation,
vaccine adjuvants and conjugate vaccines,
cancer/oncology vaccines,
clinical evaluation of vaccines,
vaccine safety,
regulatory science,
conventional and non-conventional vaccines,
live, attenuated vaccines,
inactivated vaccines,
subunit vaccines,
toxoid vaccines,
dna vaccines,
recombinant vector vaccines."
12,19409,"""Advanced Drug Delivery Reviews""",2.934,Q1,https://www.scimagojr.com/journalsearch.php?q=19409&tip=sid&clean=0,"the aim of the journal is to provide a forum for the critical analysis of advanced drug and gene delivery systems and their applications in human and veterinary medicine. the journal has a broad scope, covering the key issues for effective drug and gene delivery, from administration to site-specific delivery.

in general, the journal publishes review articles in a theme issue format. each theme issue provides a comprehensive and critical examination of current and emerging research on the design and development of advanced drug and gene delivery systems and their application to experimental and clinical therapeutics. the goal is to illustrate the pivotal role of a multidisciplinary approach to modern drug delivery, encompassing the application of sound biological and physicochemical principles to the engineering of drug delivery systems to meet the therapeutic need at hand. importantly the editorial team of addr asks that the authors effectively window the extensive volume of literature, pick the important contributions and explain their importance, produce a forward looking identification of the challenges facing the field and produce a conclusions section with expert recommendations to address the issues.

articles review the current status of a specific topic, giving equal emphasis to the identification of major conceptual and technological challenges to successful drug and gene delivery, to an evaluation of triumphs as well as shortcomings in current conceptual and technical approaches, and to a discussion of their possible solution."
13,26371,"""Natural Product Reports""",2.78,Q1,https://www.scimagojr.com/journalsearch.php?q=26371&tip=sid&clean=0,"natural product reports (npr) is a critical review journal that stimulates progress in all areas of natural products research, including isolation, structural and stereochemical determination, biosynthesis, biological activity and synthesis.

the scope of the journal is very broad, and many reviews discuss the role of natural products in the wider bioinorganic, bioorganic and chemical biology communities. areas covered include the following:

-enzymology
-nucleic acids
-genetics
-chemical ecology
-carbohydrates
-primary and secondary metabolism
-analytical techniques
npr articles are designed to give an interesting insight into the topic, focussing on the key developments that have shaped a field rather than giving a very comprehensive overview of all results.

authors are encouraged to include their own perspective on developments, trends and future directions."
